FIRMA,Kód,Tarif,Ulice,Číslo,psč,Město,Full adresa
Packeta,Packeta,1003,Českomoravská,2408/1a,190 00,Praha 9,"Českomoravská 2408/1a, Praha 9"
Wolt,Wolt10,1003,Bubenská,1477/1,170 00,Praha 7,"Bubenská 1477/1, Praha 7"
Wolt,Wolt10-2,1003,Dukelská Třída,106,614 00,Brno-Husovice,"Dukelská Třída 106, Brno-Husovice"
Multisport,Multisport10,1003,Lomnického,1705/9,140 00,Praha 4,"Lomnického 1705/9, Praha 4"
Multisport,Multisport10-2,1003,Zvěřinova,11a,618 00,Brno-Černovice,"Zvěřinova 11a, 618 00 Brno-Černovice"
FTMO,FTMO,1003,Purkyňova,80780,110 00,Praha 1,"Purkyňova 2121/3, Praha 1"
Duplex,Duplex10,1003,Václavské nám.,831/21,110 00,Praha 1,"Václavské nám. 831/21, Praha 1"
Mailstep,Mailstep,1003,Do Čertous,2760/10,190 00,Praha 9,"Do Čertous 2760/10, Praha 9"
Brocoli,Brocoli,1002,Děčínská,552/1,190 00,Praha 9,"Děčínská 552/1, Praha 9"
Brocoli,Brocoli-2,1003,Kotlaska,64/5,180 00,Praha 8,"Kotlaska 64/5, Praha 8 – Palmovka"
DigitalAd,DigitalAd,1002,Thámova,681,180 00,Praha 8,"Thámova 681, Praha 8"
CNC,CNC,1003,náměstí Marie Schmolkové,581834,110 00,Praha 1,"náměstí Marie Schmolkové 3493/1, Praha 1"
Airbank,Airbank,1003,Evropská,2690/17,160 00,Praha 6,"Evropská 2690/17, Praha 6"
Victory Fitness,Victorystaff,1003,Novodvorská,1800/136,140 00,Praha 4,"Novodvorská 1800/136, Praha 4"
Victory Fitness,Victorystaff-2,1003,Křesomyslova,384/17,140 00,Praha 4,"Křesomyslova 384/17, Praha 4"
Victory Fitness,Victorystaff-3,1003,Topolová,2963,100 00,Praha 10,"Topolová 2963, Praha 10"
Brocoli,Brocoli10,1003,Děčínská,552/1,190 00,Praha 9,"Děčínská 552/1, Praha 9"
XTB,XTB,1002,Boudníkova,2506/3,180 00,Praha 8,"Boudníkova 2506/3, Praha 8"
ČT,ČT,1003,Na Hřebenech II,1132/4,140 00,Praha 4,"Na Hřebenech II 1132/4, Praha 4"
Raiffeisenbank,RB10,1003,Hvězdova,1716/2b,140 00,Praha 4,"Hvězdova 1716/2b, Praha 4"
Průša,Prusa10,1003,Partyzánská,7a/188,170 00,Praha 7,"Partyzánská 7a/188, Praha 7"
Shoptet,SHOPTET5,1002,"PORT, Pod Dráhou",1637/6,170 00,Praha 7,"PORT, Pod Dráhou 1637/6, Praha 7"
KPMG,KPMG10,1003,Pobřežní,648,186 00,Praha 8,"Pobřežní 648, Praha 8"
KPMG,KPMG10-2,1003,Vlněna,526/5,602 00,Brno,"Vlněna 526/5, Trnitá, Brno"
Autasuper,AS10,1003,U Pekáren,1645/1,100 00,Praha 10,"U Pekáren 1645/1, Praha 10"
Publicis Groupe,PG5,1002,Boudníkova,2514/5,180 00,Praha 8,"Boudníkova 2514/5, Praha 8"
Applifting,APP10,1003,Rohanské nábř.,19,186 00,Praha 8,"Rohanské nábř. 19, Praha 8"
TV Nova,Nova10,1003,Kříženeckého nám.,1078/5a,150 00,Praha 5,"Kříženeckého nám. 1078/5a, Praha 5"
Airbank,Airbank5,1002,,,,,NEJDE ZALOŽIT DO FIREMNÍCH KÓDU BEZ ADRESY
Raiffeisenbank,RB5,1002,,,,,NEJDE ZALOŽIT DO FIREMNÍCH KÓDU BEZ ADRESY
Prague Lions,PL5,1006,,,,,NEJDE ZALOŽIT DO FIREMNÍCH KÓDU BEZ ADRESY
